university_name,founded_year,course_name,language,mode,fee_domestic,fee_international
Baku State University,1919,Tourism,Azerbaijani,Full-time,3189.0,3189.0
ADA University,2006,Business,Azerbaijani,Full-time,5423.0,5423.0
ADA University,2006,Computer Science,Azerbaijani,Full-time,5423.0,5423.0
ADA University,2006,Economics,Azerbaijani,Full-time,5423.0,5423.0
ADA University,2006,IT,Azerbaijani,Full-time,5423.0,5423.0
ADA University,2006,International Relations,Azerbaijani,Full-time,5423.0,5423.0
ADA University,2006,Management,Azerbaijani,Full-time,5423.0,5423.0
Baku Eurasian University,1992,Economics,Azerbaijani,Full-time,1700.0,1700.0
Baku Eurasian University,1992,Mathematics,Azerbaijani,Full-time,1700.0,1700.0
Baku Eurasian University,1992,Philology,Azerbaijani,Full-time,1700.0,1700.0
Baku Eurasian University,1992,International Relations,Azerbaijani,Full-time,1700.0,1700.0
Odlar Yurdu University,1995,Accounting,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Biology,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Economics,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Education and Teaching,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Engineering,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Finance and Banking,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,International Relations,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Management,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Philology,Azerbaijani,Full-time,5100.0,5100.0
Odlar Yurdu University,1995,Marketing,Azerbaijani,Full-time,5100.0,5100.0
Azerbaijan University,1991,Accounting,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Applied Sciences and Professions,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Business,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Computer Science,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Economics,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Engineering,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Finance and Banking,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,History,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Humanities,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,IT,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Management,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Marketing,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Mathematics,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,PR,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Philology,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Administration,Azerbaijani,Full-time,2480.0,2480.0
Azerbaijan University,1991,Philosophy,Azerbaijani,Full-time,2480.0,2480.0
