University Name,Location,Founded Year,University ID,Online Status,Admission Status,Course Name,Language,Mode,Fee Domestic,Fee International
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,"AZN 1,600","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 1,500","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Humanities,Azerbaijani,Full-time,"AZN 1,500","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Management,Azerbaijani,Full-time,"AZN 1,600","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Mathematics,Azerbaijani,Full-time,"AZN 1,800","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Natural Sciences,Azerbaijani,Full-time,"AZN 1,500","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,"AZN 1,200","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Engineering,Azerbaijani,Full-time,"AZN 1,200","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Humanities,Azerbaijani,Full-time,"AZN 1,200","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Mathematics,Azerbaijani,Full-time,"AZN 1,200","AZN 1,700"
Lankaran State University,Azerbaijan,1992,1003100020,Online Application form,Admissions open,Natural Sciences,Azerbaijani,Full-time,"AZN 1,200","AZN 1,700"
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Accounting,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Computer Science,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Education and Teaching,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Finance and Banking,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Hospitality,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,IT,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,International Relations,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Management,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Mathematics,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Philology,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Physical Education,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Sports,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Tourism,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Education and Teaching,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Philology,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Economics,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Education and Teaching,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Mathematics,Azerbaijani,Full-time,AZN 833,AZN 833
Nakchivan  University,Azerbaijan,1999,1003100022,Online Application form,Admissions open,Philology,Azerbaijani,Full-time,AZN 833,AZN 833
